date,departure_time,weekday,month,origin,destination,travel_time_mins,delay_mins,congestion_level,is_raining,recommended_departure
2021-10-04,21:00,0,10,Borivali,Churchgate,26,18,Low,No,21:00
2022-05-10,12:45,1,5,Andheri,BKC,49,16,Low,No,12:45
2022-02-14,13:30,0,2,Kandivali,Goregaon,44,7,Low,No,13:30
2021-11-25,16:15,3,11,Kandivali,Goregaon,22,16,Low,No,16:15
2021-04-23,02:15,4,4,Navi Mumbai,CST,17,5,Low,No,02:15
2022-09-19,00:30,0,9,Malad,Lower Parel,36,0,Low,Yes,00:30
2022-06-29,19:00,2,6,Thane,Kurla,88,50,Very High,No,18:00
2021-02-08,06:45,0,2,Navi Mumbai,CST,45,13,Low,No,06:45
2021-12-14,03:45,1,12,Thane,Kurla,15,2,Low,No,03:45
2021-01-24,16:30,6,1,Vasai,Virar,36,4,Medium,No,16:30
2020-11-18,08:45,2,11,Powai,Andheri,80,23,Very High,No,07:45
2021-03-05,05:45,4,3,Kandivali,Goregaon,20,15,Low,No,05:45
2021-12-10,17:15,4,12,Powai,Andheri,81,29,High,No,16:15
2020-01-04,11:30,5,1,Malad,Lower Parel,32,9,Medium,No,11:30
2021-12-29,16:30,2,12,Kandivali,Goregaon,35,5,Medium,No,16:30
2020-09-14,19:45,0,9,Kandivali,Goregaon,124,63,Very High,Yes,18:45
2020-07-31,09:00,4,7,Andheri,BKC,92,67,Very High,Yes,08:00
2022-07-16,00:30,5,7,Malad,Lower Parel,19,0,Low,No,00:30
2020-12-28,13:30,0,12,Thane,Kurla,39,19,Medium,No,13:30
2022-08-04,23:30,3,8,Malad,Lower Parel,37,10,Low,No,23:30
2020-04-01,06:00,2,4,Borivali,Churchgate,48,6,Medium,No,06:00
2020-12-21,21:15,0,12,Dadar,Nariman Point,20,11,Medium,No,21:15
2020-09-19,11:15,5,9,Powai,Andheri,36,4,Medium,No,11:15
2020-08-18,15:00,1,8,Malad,Lower Parel,57,27,Medium,Yes,15:00
2021-10-11,23:45,0,10,Dadar,Nariman Point,32,19,Medium,No,23:45
2020-01-02,19:45,3,1,Andheri,BKC,61,29,Very High,No,18:45
2022-01-05,08:00,2,1,Thane,Kurla,47,29,High,No,07:00
2020-01-10,11:30,4,1,Dadar,Nariman Point,33,13,Medium,No,11:30
2021-07-29,11:15,3,7,Dadar,Nariman Point,46,10,Medium,No,11:15
2021-07-21,02:45,2,7,Bandra,Worli,26,4,Low,Yes,02:45
2020-10-31,05:45,5,10,Vasai,Virar,25,7,Medium,No,05:45
2022-01-28,14:45,4,1,Powai,Andheri,43,18,Medium,No,14:45
2021-08-23,09:45,0,8,Kandivali,Goregaon,68,42,Very High,Yes,08:45
2021-04-15,12:30,3,4,Borivali,Churchgate,50,13,Medium,No,12:30
2022-06-12,16:45,6,6,Vasai,Virar,39,9,Medium,No,16:45
2020-01-18,16:30,5,1,Dadar,Nariman Point,20,12,Medium,No,16:30
2022-05-06,04:00,4,5,Vasai,Virar,17,4,Low,No,04:00
2022-06-23,01:00,3,6,Borivali,Churchgate,15,5,Low,No,01:00
2020-09-18,01:30,4,9,Dadar,Nariman Point,16,3,Low,No,01:30
2022-02-15,14:15,1,2,Kandivali,Goregaon,41,5,Medium,No,14:15
2020-08-21,15:45,4,8,Kandivali,Goregaon,21,13,Medium,No,15:45
2022-04-29,13:00,4,4,Dadar,Nariman Point,37,6,Low,No,13:00
2022-08-05,08:30,4,8,Dadar,Nariman Point,57,35,Very High,No,07:30
2022-03-22,16:15,1,3,Navi Mumbai,CST,24,15,Medium,No,16:15
2021-02-27,01:30,5,2,Vasai,Virar,20,1,Low,No,01:30
2021-05-08,13:00,5,5,Thane,Kurla,20,7,Low,No,13:00
2020-05-01,02:15,4,5,Bandra,Worli,20,4,Low,No,02:15
2021-04-16,06:15,4,4,Dadar,Nariman Point,30,16,Medium,No,06:15
2021-03-24,08:30,2,3,Kandivali,Goregaon,45,27,Very High,No,07:30
2021-01-26,15:15,1,1,Thane,Kurla,26,10,Medium,No,15:15
2022-07-17,08:00,6,7,Navi Mumbai,CST,48,17,High,No,07:00
2021-12-31,20:00,4,12,Borivali,Churchgate,96,43,High,No,19:00
2022-04-30,01:30,5,4,Navi Mumbai,CST,24,0,Low,No,01:30
2021-09-06,11:30,0,9,Malad,Lower Parel,39,12,Low,No,11:30
2022-08-31,18:30,2,8,Vasai,Virar,60,48,Very High,No,17:30
2020-07-15,09:15,2,7,Vasai,Virar,86,40,High,No,08:15
2021-02-05,12:45,4,2,Andheri,BKC,22,9,Medium,No,12:45
2022-06-16,02:30,3,6,Vasai,Virar,27,3,Low,No,02:30
2022-09-05,00:30,0,9,Thane,Kurla,16,2,Low,No,00:30
2020-01-03,19:00,4,1,Kandivali,Goregaon,99,36,High,No,18:00
2022-08-05,04:00,4,8,Kandivali,Goregaon,24,3,Low,Yes,04:00
2022-07-15,06:30,4,7,Andheri,BKC,35,6,Low,No,06:30
2020-07-26,07:15,6,7,Borivali,Churchgate,20,12,Medium,Yes,07:15
2022-06-10,16:30,4,6,Thane,Kurla,38,18,Medium,No,16:30
2022-04-04,12:30,0,4,Thane,Kurla,32,14,Medium,No,12:30
2020-03-16,09:15,0,3,Andheri,BKC,58,27,High,No,08:15
2022-03-05,04:15,5,3,Navi Mumbai,CST,16,3,Low,No,04:15
2022-08-21,00:45,6,8,Andheri,BKC,18,0,Low,Yes,00:45
2020-12-21,23:45,0,12,Malad,Lower Parel,31,7,Medium,No,23:45
2020-03-19,12:00,3,3,Navi Mumbai,CST,31,6,Low,No,12:00
2020-07-03,03:15,4,7,Malad,Lower Parel,29,3,Low,Yes,03:15
2021-06-23,17:00,2,6,Kandivali,Goregaon,100,48,High,No,16:00
2020-10-23,10:45,4,10,Borivali,Churchgate,68,42,Very High,No,09:45
2021-04-06,04:45,1,4,Borivali,Churchgate,23,1,Low,No,04:45
2022-03-07,17:00,0,3,Navi Mumbai,CST,60,25,High,No,16:00
2020-09-17,15:30,3,9,Borivali,Churchgate,29,8,Medium,No,15:30
2021-07-25,09:15,6,7,Bandra,Worli,55,20,High,No,08:15
2021-10-09,00:00,5,10,Malad,Lower Parel,12,2,Low,No,00:00
2021-01-05,23:15,1,1,Malad,Lower Parel,39,14,Medium,No,23:15
2021-12-21,18:30,1,12,Navi Mumbai,CST,88,33,Very High,No,17:30
2020-08-08,11:00,5,8,Thane,Kurla,28,6,Low,No,11:00
2020-07-24,12:00,4,7,Andheri,BKC,29,21,Medium,Yes,12:00
2021-04-18,01:15,6,4,Thane,Kurla,13,1,Low,No,01:15
2020-11-18,04:15,2,11,Bandra,Worli,22,5,Low,No,04:15
2020-08-06,05:45,3,8,Borivali,Churchgate,28,19,Low,Yes,05:45
2020-03-28,16:00,5,3,Malad,Lower Parel,16,12,Low,No,16:00
2022-05-14,02:45,5,5,Dadar,Nariman Point,16,2,Low,No,02:45
2020-05-10,16:45,6,5,Vasai,Virar,23,10,Medium,No,16:45
2020-02-27,03:45,3,2,Dadar,Nariman Point,22,5,Low,No,03:45
2022-02-07,07:45,0,2,Dadar,Nariman Point,21,12,Low,No,07:45
2020-07-21,21:30,1,7,Vasai,Virar,40,9,Medium,Yes,21:30
2020-10-04,18:30,6,10,Bandra,Worli,51,30,High,No,17:30
2020-10-30,20:15,4,10,Vasai,Virar,51,39,High,No,19:15
2021-03-10,23:00,2,3,Kandivali,Goregaon,32,7,Low,No,23:00
2020-01-18,04:30,5,1,Navi Mumbai,CST,22,1,Low,No,04:30
2022-04-23,00:00,5,4,Malad,Lower Parel,22,1,Low,No,00:00
2022-07-29,17:15,4,7,Andheri,BKC,79,46,Very High,Yes,16:15
2022-04-15,01:30,4,4,Navi Mumbai,CST,23,4,Low,No,01:30
2021-05-24,22:15,0,5,Andheri,BKC,50,17,Medium,No,22:15
2020-12-13,13:00,6,12,Kandivali,Goregaon,23,7,Medium,No,13:00
2021-12-16,18:15,3,12,Borivali,Churchgate,87,41,Very High,No,17:15
2021-02-07,11:15,6,2,Malad,Lower Parel,33,7,Low,No,11:15
2020-05-23,07:15,5,5,Vasai,Virar,32,6,Low,No,07:15
2021-11-24,09:45,2,11,Thane,Kurla,81,38,Very High,No,08:45
2020-06-13,20:30,5,6,Malad,Lower Parel,54,42,High,Yes,19:30
2021-01-26,16:15,1,1,Borivali,Churchgate,49,5,Low,No,16:15
2021-08-30,23:15,0,8,Malad,Lower Parel,37,27,Medium,Yes,23:15
2022-07-05,23:45,1,7,Andheri,BKC,50,7,Low,Yes,23:45
2020-07-01,07:15,2,7,Navi Mumbai,CST,24,6,Low,No,07:15
2020-07-30,17:30,3,7,Andheri,BKC,87,61,Very High,Yes,16:30
2022-06-27,15:15,0,6,Andheri,BKC,33,19,Medium,No,15:15
2021-02-27,10:15,5,2,Bandra,Worli,64,18,High,No,09:15
2022-09-11,16:45,6,9,Vasai,Virar,41,18,Medium,Yes,16:45
2022-05-20,13:00,4,5,Borivali,Churchgate,22,7,Medium,No,13:00
2022-08-18,12:30,3,8,Andheri,BKC,25,17,Low,No,12:30
2021-10-02,19:15,5,10,Malad,Lower Parel,53,15,Low,No,19:15
2021-01-26,21:45,1,1,Malad,Lower Parel,40,11,Low,No,21:45
2021-08-24,15:15,1,8,Kandivali,Goregaon,29,22,Medium,Yes,15:15
2022-03-07,04:15,0,3,Kandivali,Goregaon,18,1,Low,No,04:15
2021-03-27,18:30,5,3,Dadar,Nariman Point,60,19,Low,No,18:30
2020-01-05,02:45,6,1,Borivali,Churchgate,15,0,Low,Yes,02:45
2022-06-10,20:45,4,6,Andheri,BKC,55,31,Very High,No,19:45
2021-10-12,11:15,1,10,Thane,Kurla,45,17,Low,No,11:15
2020-01-04,11:30,5,1,Dadar,Nariman Point,37,4,Low,Yes,11:30
2022-07-28,06:30,3,7,Powai,Andheri,42,8,Medium,No,06:30
2020-05-08,04:15,4,5,Bandra,Worli,29,2,Low,No,04:15
2021-04-25,16:45,6,4,Andheri,BKC,36,3,Medium,No,16:45
2021-07-31,06:00,5,7,Navi Mumbai,CST,21,4,Medium,No,06:00
2021-10-17,05:30,6,10,Navi Mumbai,CST,35,7,Low,No,05:30
2020-12-24,17:45,3,12,Malad,Lower Parel,83,41,Very High,No,16:45
2022-05-28,15:45,5,5,Thane,Kurla,31,11,Low,No,15:45
2021-11-07,18:45,6,11,Powai,Andheri,64,16,Low,No,18:45
2020-03-03,19:00,1,3,Navi Mumbai,CST,72,50,High,No,18:00
2021-03-18,05:00,3,3,Andheri,BKC,24,19,Low,No,05:00
2020-10-08,00:15,3,10,Borivali,Churchgate,18,4,Low,No,00:15
2022-06-09,10:00,3,6,Dadar,Nariman Point,117,49,High,Yes,09:00
2021-12-12,23:00,6,12,Dadar,Nariman Point,33,7,Medium,No,23:00
2021-04-21,00:45,2,4,Vasai,Virar,29,0,Low,No,00:45
2020-01-18,05:45,5,1,Bandra,Worli,24,4,Medium,No,05:45
2021-07-29,14:15,3,7,Navi Mumbai,CST,39,7,Medium,No,14:15
2020-11-12,17:45,3,11,Malad,Lower Parel,88,46,High,No,16:45
2020-09-24,01:30,3,9,Powai,Andheri,27,7,Low,Yes,01:30
2020-03-22,06:30,6,3,Powai,Andheri,20,11,Medium,No,06:30
2020-05-04,09:30,0,5,Andheri,BKC,50,24,Very High,No,08:30
2022-07-03,11:00,6,7,Vasai,Virar,29,6,Medium,Yes,11:00
2020-02-15,18:15,5,2,Kandivali,Goregaon,42,28,High,No,17:15
2022-06-21,21:15,1,6,Dadar,Nariman Point,45,19,Low,Yes,21:15
2022-04-22,01:15,4,4,Navi Mumbai,CST,26,5,Low,No,01:15
2021-02-22,23:00,0,2,Powai,Andheri,39,9,Medium,No,23:00
2022-02-09,20:30,2,2,Bandra,Worli,80,31,Very High,No,19:30
2021-06-20,07:45,6,6,Dadar,Nariman Point,28,6,Medium,No,07:45
2020-11-16,05:30,0,11,Andheri,BKC,42,17,Medium,No,05:30
2020-03-30,20:15,0,3,Dadar,Nariman Point,84,35,High,No,19:15
2021-06-11,22:15,4,6,Kandivali,Goregaon,32,22,Low,Yes,22:15
2020-07-30,09:00,3,7,Kandivali,Goregaon,47,30,High,No,08:00
2020-04-06,11:00,0,4,Malad,Lower Parel,29,13,Medium,No,11:00
2020-04-30,22:00,3,4,Kandivali,Goregaon,47,15,Low,No,22:00
2020-10-27,15:30,1,10,Vasai,Virar,45,13,Medium,No,15:30
2021-11-10,01:15,2,11,Dadar,Nariman Point,26,2,Low,No,01:15
2021-05-09,07:45,6,5,Vasai,Virar,19,8,Low,No,07:45
2020-04-22,22:15,2,4,Borivali,Churchgate,50,18,Low,No,22:15
2021-07-14,02:00,2,7,Malad,Lower Parel,27,5,Low,No,02:00
2021-04-23,23:45,4,4,Borivali,Churchgate,33,13,Low,No,23:45
2020-07-05,16:30,6,7,Dadar,Nariman Point,26,12,Low,Yes,16:30
2021-09-18,06:00,5,9,Kandivali,Goregaon,17,3,Medium,No,06:00
2020-01-05,08:15,6,1,Malad,Lower Parel,65,20,High,No,07:15
2021-12-10,22:15,4,12,Vasai,Virar,27,16,Low,No,22:15
2020-01-31,03:45,4,1,Powai,Andheri,16,1,Low,No,03:45
2021-02-25,11:00,3,2,Andheri,BKC,23,6,Low,No,11:00
2022-03-08,19:30,1,3,Kandivali,Goregaon,76,49,Very High,No,18:30
2022-06-25,23:00,5,6,Kandivali,Goregaon,38,10,Low,No,23:00
2021-01-26,15:30,1,1,Vasai,Virar,47,11,Medium,No,15:30
2020-04-17,19:15,4,4,Borivali,Churchgate,66,37,High,No,18:15
2021-02-03,21:15,2,2,Bandra,Worli,50,14,Medium,No,21:15
2020-01-30,00:00,3,1,Borivali,Churchgate,31,7,Low,Yes,00:00
2021-09-08,00:00,2,9,Dadar,Nariman Point,37,1,Low,Yes,00:00
2020-04-30,21:30,3,4,Powai,Andheri,23,18,Medium,No,21:30
2020-07-22,11:00,2,7,Dadar,Nariman Point,42,19,Low,No,11:00
2020-07-05,18:45,6,7,Bandra,Worli,91,40,High,Yes,17:45
2022-05-07,03:30,5,5,Kandivali,Goregaon,16,1,Low,No,03:30
2020-02-14,10:15,4,2,Kandivali,Goregaon,79,25,High,No,09:15
2021-08-20,23:00,4,8,Powai,Andheri,44,17,Medium,No,23:00
2021-12-02,16:45,3,12,Navi Mumbai,CST,36,14,Medium,No,16:45
2020-09-05,04:15,5,9,Kandivali,Goregaon,26,1,Low,Yes,04:15
2020-02-01,08:00,5,2,Vasai,Virar,36,18,Low,No,08:00
2021-05-10,17:15,0,5,Thane,Kurla,80,45,Very High,No,16:15
2021-03-16,09:45,1,3,Dadar,Nariman Point,46,21,High,No,08:45
2022-05-22,22:45,6,5,Borivali,Churchgate,38,9,Medium,No,22:45
2021-09-27,00:45,0,9,Powai,Andheri,32,6,Low,Yes,00:45
2020-05-27,20:30,2,5,Borivali,Churchgate,78,30,High,No,19:30
2021-08-14,01:30,5,8,Dadar,Nariman Point,17,1,Low,No,01:30
2022-02-08,12:45,1,2,Andheri,BKC,22,18,Low,No,12:45
2021-05-26,01:00,2,5,Kandivali,Goregaon,22,3,Low,No,01:00
2020-12-27,08:00,6,12,Andheri,BKC,40,12,High,No,07:00
2020-05-22,14:30,4,5,Powai,Andheri,39,30,Medium,Yes,14:30
2022-01-18,21:15,1,1,Bandra,Worli,26,12,Medium,No,21:15
2020-07-23,11:00,3,7,Powai,Andheri,58,21,Low,Yes,11:00
2022-09-12,00:15,0,9,Bandra,Worli,23,3,Low,Yes,00:15
2022-03-20,14:00,6,3,Thane,Kurla,28,7,Medium,No,14:00
2020-06-15,11:30,0,6,Dadar,Nariman Point,57,12,Medium,Yes,11:30
2020-05-05,06:00,1,5,Kandivali,Goregaon,35,11,Medium,No,06:00
2022-02-06,12:30,6,2,Vasai,Virar,28,11,Medium,No,12:30
2021-11-11,20:15,3,11,Powai,Andheri,96,46,High,No,19:15
2020-09-14,02:00,0,9,Borivali,Churchgate,28,0,Low,No,02:00
2021-10-04,23:00,0,10,Navi Mumbai,CST,27,16,Medium,No,23:00
2021-04-07,10:00,2,4,Vasai,Virar,64,43,Very High,No,09:00
2022-05-14,00:00,5,5,Kandivali,Goregaon,19,2,Low,No,00:00
2021-08-01,12:45,6,8,Malad,Lower Parel,16,6,Medium,No,12:45
2022-08-02,08:45,1,8,Navi Mumbai,CST,89,22,Very High,No,07:45
2020-01-15,23:15,2,1,Malad,Lower Parel,27,15,Low,No,23:15
2020-10-01,22:45,3,10,Andheri,BKC,40,19,Low,Yes,22:45
2020-06-05,20:30,4,6,Dadar,Nariman Point,85,70,High,Yes,19:30
2022-09-27,10:00,1,9,Malad,Lower Parel,61,29,High,No,09:00
2021-11-24,11:15,2,11,Borivali,Churchgate,33,11,Low,No,11:15
2022-04-20,22:45,2,4,Borivali,Churchgate,26,12,Medium,No,22:45
2020-06-12,19:30,4,6,Malad,Lower Parel,93,40,Very High,No,18:30
2022-02-05,20:45,5,2,Bandra,Worli,52,16,High,No,19:45
2021-12-05,00:45,6,12,Powai,Andheri,12,1,Low,No,00:45
2021-12-16,08:45,3,12,Dadar,Nariman Point,79,43,High,No,07:45
2020-07-01,05:00,2,7,Navi Mumbai,CST,26,20,Medium,No,05:00
2021-11-29,03:30,0,11,Thane,Kurla,25,2,Low,No,03:30
2021-10-29,10:15,4,10,Vasai,Virar,61,36,High,No,09:15
2020-03-19,10:00,3,3,Vasai,Virar,65,21,Very High,No,09:00
2020-09-22,09:30,1,9,Thane,Kurla,101,67,Very High,Yes,08:30
2021-03-08,12:15,0,3,Vasai,Virar,24,19,Medium,No,12:15
2021-01-13,19:45,2,1,Bandra,Worli,69,48,High,No,18:45
2021-08-05,02:45,3,8,Vasai,Virar,19,0,Low,No,02:45
2020-07-02,14:30,3,7,Andheri,BKC,36,11,Medium,No,14:30
2020-11-02,03:00,0,11,Thane,Kurla,27,1,Low,No,03:00
2022-06-28,10:30,1,6,Thane,Kurla,83,54,Very High,Yes,09:30
2022-02-08,07:15,1,2,Powai,Andheri,27,8,Medium,No,07:15
2021-01-25,08:45,0,1,Dadar,Nariman Point,57,25,Very High,No,07:45
2020-06-09,21:15,1,6,Malad,Lower Parel,28,11,Medium,No,21:15
2020-03-05,06:45,3,3,Malad,Lower Parel,22,7,Low,No,06:45
2022-01-09,17:30,6,1,Borivali,Churchgate,77,28,Low,No,17:30
2022-06-27,14:00,0,6,Navi Mumbai,CST,37,5,Medium,No,14:00
2021-04-13,13:45,1,4,Andheri,BKC,22,16,Low,No,13:45
2022-02-14,00:15,0,2,Kandivali,Goregaon,27,0,Low,No,00:15
2020-09-18,05:45,4,9,Malad,Lower Parel,40,12,Medium,Yes,05:45
2021-12-19,09:30,6,12,Andheri,BKC,51,13,Low,No,09:30
2020-11-22,04:15,6,11,Borivali,Churchgate,16,3,Low,No,04:15
2021-06-25,03:30,4,6,Navi Mumbai,CST,30,5,Low,No,03:30
2021-03-26,18:45,4,3,Navi Mumbai,CST,89,36,High,No,17:45
2022-05-01,16:00,6,5,Bandra,Worli,24,4,Medium,No,16:00
2020-11-09,03:00,0,11,Thane,Kurla,25,0,Low,No,03:00
2020-01-29,19:00,2,1,Bandra,Worli,80,46,High,No,18:00
2021-02-01,19:45,0,2,Thane,Kurla,91,32,High,No,18:45
2020-02-11,22:45,1,2,Vasai,Virar,41,5,Medium,No,22:45
2020-03-06,05:15,4,3,Dadar,Nariman Point,28,9,Medium,No,05:15
2020-10-10,11:45,5,10,Bandra,Worli,20,11,Medium,No,11:45
2020-08-17,06:45,0,8,Powai,Andheri,55,12,Medium,Yes,06:45
2022-06-29,11:15,2,6,Kandivali,Goregaon,44,21,Medium,Yes,11:15
2021-01-13,17:45,2,1,Andheri,BKC,56,32,High,No,16:45
2022-09-09,21:15,4,9,Powai,Andheri,24,19,Low,No,21:15
2020-03-27,03:30,4,3,Powai,Andheri,19,3,Low,No,03:30
2021-10-27,00:15,2,10,Borivali,Churchgate,25,0,Low,No,00:15
2021-06-10,03:00,3,6,Bandra,Worli,27,0,Low,Yes,03:00
2020-10-13,18:45,1,10,Andheri,BKC,92,32,Very High,No,17:45
2022-03-26,06:15,5,3,Vasai,Virar,23,6,Medium,No,06:15
2020-08-11,21:30,1,8,Navi Mumbai,CST,59,16,Low,Yes,21:30
2022-09-23,08:45,4,9,Malad,Lower Parel,88,43,High,No,07:45
2021-02-08,04:30,0,2,Bandra,Worli,24,3,Low,No,04:30
2022-07-20,05:30,2,7,Dadar,Nariman Point,49,21,Medium,Yes,05:30
2022-01-08,20:45,5,1,Bandra,Worli,63,26,High,No,19:45
2020-06-25,11:00,3,6,Bandra,Worli,37,9,Medium,No,11:00
2022-06-05,21:00,6,6,Vasai,Virar,35,15,Medium,Yes,21:00
2022-01-06,13:45,3,1,Malad,Lower Parel,36,13,Medium,No,13:45
2021-07-07,17:30,2,7,Andheri,BKC,57,37,Very High,No,16:30
2020-01-17,21:00,4,1,Navi Mumbai,CST,21,14,Medium,No,21:00
2022-06-02,18:30,3,6,Vasai,Virar,72,26,High,No,17:30
2020-05-29,19:30,4,5,Navi Mumbai,CST,64,39,High,No,18:30
2021-12-07,13:30,1,12,Bandra,Worli,40,20,Medium,No,13:30
2021-12-09,22:45,3,12,Bandra,Worli,28,12,Low,No,22:45
2022-08-20,11:00,5,8,Vasai,Virar,33,10,Medium,No,11:00
2020-11-06,02:00,4,11,Borivali,Churchgate,25,3,Low,No,02:00
2022-06-01,20:30,2,6,Andheri,BKC,60,26,High,No,19:30
2022-02-24,18:15,3,2,Powai,Andheri,86,29,Very High,No,17:15
2021-09-29,08:00,2,9,Dadar,Nariman Point,60,21,High,No,07:00
2020-01-19,18:30,6,1,Powai,Andheri,55,42,High,Yes,17:30
2022-09-03,07:45,5,9,Bandra,Worli,31,4,Medium,Yes,07:45
2021-10-12,10:45,1,10,Thane,Kurla,85,33,High,No,09:45
2020-09-12,08:30,5,9,Navi Mumbai,CST,92,40,High,Yes,07:30
2020-12-29,17:45,1,12,Kandivali,Goregaon,57,48,Very High,No,16:45
2022-01-28,11:15,4,1,Thane,Kurla,27,6,Low,No,11:15
2020-01-06,10:30,0,1,Vasai,Virar,49,31,High,No,09:30
2021-09-14,05:00,1,9,Thane,Kurla,25,7,Medium,No,05:00
2021-01-07,21:45,3,1,Bandra,Worli,31,12,Low,No,21:45
2020-07-19,16:45,6,7,Thane,Kurla,29,6,Medium,No,16:45
2020-02-12,15:15,2,2,Powai,Andheri,30,14,Low,No,15:15
2022-02-23,15:15,2,2,Dadar,Nariman Point,42,7,Medium,No,15:15
2020-07-19,15:45,6,7,Kandivali,Goregaon,45,9,Medium,Yes,15:45
2022-01-07,00:45,4,1,Vasai,Virar,29,4,Low,No,00:45
2021-08-14,11:15,5,8,Kandivali,Goregaon,26,11,Medium,No,11:15
2021-06-19,11:45,5,6,Kandivali,Goregaon,21,9,Medium,No,11:45
2022-02-07,19:30,0,2,Thane,Kurla,67,32,High,No,18:30
2022-04-05,12:00,1,4,Bandra,Worli,45,7,Medium,No,12:00
2021-09-01,01:00,2,9,Andheri,BKC,36,3,Low,Yes,01:00
2021-01-28,17:30,3,1,Malad,Lower Parel,68,48,Very High,No,16:30
2022-04-14,21:45,3,4,Borivali,Churchgate,48,9,Low,No,21:45
2020-02-18,11:15,1,2,Malad,Lower Parel,37,14,Low,No,11:15
2020-05-03,12:00,6,5,Malad,Lower Parel,36,10,Medium,No,12:00
2021-05-09,17:00,6,5,Dadar,Nariman Point,41,19,High,No,16:00
2022-02-23,07:45,2,2,Powai,Andheri,50,19,Medium,No,07:45
2021-09-12,03:45,6,9,Malad,Lower Parel,28,4,Low,Yes,03:45
2021-06-05,18:45,5,6,Navi Mumbai,CST,68,25,High,No,17:45
2021-11-15,23:15,0,11,Powai,Andheri,50,20,Medium,No,23:15
2022-02-24,16:45,3,2,Vasai,Virar,34,18,Medium,No,16:45
2022-05-27,06:45,4,5,Vasai,Virar,38,20,Low,No,06:45
2020-06-14,15:45,6,6,Navi Mumbai,CST,42,9,Low,Yes,15:45
2020-03-25,07:30,2,3,Navi Mumbai,CST,48,19,Medium,No,07:30
2022-06-14,10:45,1,6,Thane,Kurla,53,45,High,No,09:45
2020-01-18,19:45,5,1,Kandivali,Goregaon,52,22,High,No,18:45
2021-01-13,21:30,2,1,Thane,Kurla,29,9,Medium,No,21:30
2022-03-11,06:00,4,3,Dadar,Nariman Point,49,17,Medium,No,06:00
2021-09-15,09:45,2,9,Vasai,Virar,82,41,High,No,08:45
2020-08-06,11:30,3,8,Bandra,Worli,29,5,Medium,No,11:30
2022-09-06,12:30,1,9,Malad,Lower Parel,50,19,Low,Yes,12:30
2020-04-04,16:00,5,4,Powai,Andheri,38,3,Low,No,16:00
2022-06-28,03:30,1,6,Powai,Andheri,20,2,Low,No,03:30
2020-09-18,03:30,4,9,Powai,Andheri,22,3,Low,No,03:30
2021-07-07,08:30,2,7,Thane,Kurla,62,34,Very High,Yes,07:30
2020-08-22,09:30,5,8,Andheri,BKC,70,25,Low,No,09:30
2020-04-09,19:00,3,4,Bandra,Worli,56,40,Very High,No,18:00
2021-08-23,19:30,0,8,Thane,Kurla,127,52,High,Yes,18:30
2021-06-24,00:15,3,6,Powai,Andheri,24,6,Low,Yes,00:15
2020-05-03,13:15,6,5,Borivali,Churchgate,17,7,Medium,No,13:15
2021-09-06,08:45,0,9,Powai,Andheri,109,67,High,Yes,07:45
2021-01-29,19:30,4,1,Bandra,Worli,72,43,Very High,No,18:30
2020-07-18,21:15,5,7,Powai,Andheri,16,11,Medium,No,21:15
2021-05-02,04:15,6,5,Thane,Kurla,21,2,Low,No,04:15
2020-06-25,13:45,3,6,Malad,Lower Parel,29,19,Medium,No,13:45
2020-04-13,05:15,0,4,Thane,Kurla,54,25,Medium,Yes,05:15
2021-04-16,09:30,4,4,Borivali,Churchgate,66,34,Very High,No,08:30
2021-12-16,21:45,3,12,Navi Mumbai,CST,22,17,Medium,No,21:45
2021-09-01,11:00,2,9,Bandra,Worli,48,17,Low,No,11:00
2022-08-22,23:30,0,8,Dadar,Nariman Point,63,10,Medium,Yes,23:30
2020-01-02,23:00,3,1,Dadar,Nariman Point,35,18,Medium,No,23:00
2021-11-07,22:30,6,11,Thane,Kurla,16,3,Medium,No,22:30
2020-11-25,08:45,2,11,Bandra,Worli,87,45,Very High,No,07:45
2021-06-01,22:45,1,6,Borivali,Churchgate,35,12,Medium,No,22:45
2020-10-12,12:00,0,10,Andheri,BKC,36,12,Medium,No,12:00
2021-03-17,14:00,2,3,Dadar,Nariman Point,25,10,Low,No,14:00
2022-02-28,12:15,0,2,Thane,Kurla,20,18,Low,No,12:15
2020-09-11,06:00,4,9,Bandra,Worli,52,15,Low,Yes,06:00
2020-03-14,13:30,5,3,Bandra,Worli,20,10,Medium,No,13:30
2021-02-06,16:30,5,2,Powai,Andheri,25,9,Medium,No,16:30
2022-03-16,00:15,2,3,Bandra,Worli,22,5,Low,No,00:15
2021-01-29,21:45,4,1,Borivali,Churchgate,34,9,Medium,No,21:45
2020-07-20,23:30,0,7,Vasai,Virar,42,5,Medium,No,23:30
2021-02-07,03:45,6,2,Andheri,BKC,12,2,Low,No,03:45
2021-02-11,08:30,3,2,Vasai,Virar,65,43,High,No,07:30
2020-02-05,14:30,2,2,Borivali,Churchgate,43,18,Medium,No,14:30
2021-10-23,21:45,5,10,Kandivali,Goregaon,21,4,Medium,No,21:45
2021-08-19,01:15,3,8,Bandra,Worli,30,4,Low,No,01:15
2021-07-12,14:15,0,7,Powai,Andheri,49,13,Medium,No,14:15
2021-06-23,04:15,2,6,Dadar,Nariman Point,21,2,Low,No,04:15
2022-04-15,18:30,4,4,Kandivali,Goregaon,72,48,Very High,No,17:30
2020-04-27,22:15,0,4,Kandivali,Goregaon,27,5,Medium,No,22:15
