parking_lot_name,area,total_capacity,occupied_spots,available_spots,occupancy_percentage,date,time,latitude,longitude,price_per_hour,status
Inorbit Mall Parking,Malad,700,40,660,5.8,2020-06-27,05:30,19.171799675659877,72.84883938079467,80,Available
Infiniti Mall Parking,Andheri,450,304,146,67.7,2021-02-04,12:15,19.13620064101898,72.8305996262616,50,Available
Infiniti Mall Parking,Andheri,450,71,379,15.8,2022-09-18,04:15,19.13649777174614,72.82963256445566,40,Available
Andheri Metro Parking,Andheri,200,168,32,84.2,2021-02-17,10:00,19.12004548359568,72.84783477988307,20,Available
Thane Station Parking,Thane,300,277,23,92.6,2022-05-04,13:15,19.18559418200503,72.96975157316041,20,Available
BKC Parking Complex,BKC,500,403,97,80.8,2022-08-12,15:15,19.059891918220906,72.8647344932937,20,Available
Phoenix Palladium Parking,Lower Parel,800,792,8,99.0,2020-10-03,18:30,18.99376952740727,72.8255002646353,30,Limited
R City Mall Parking,Ghatkopar,550,301,249,54.8,2020-01-03,08:45,19.08534446830148,72.90896842034836,50,Available
Dadar Station Parking,Dadar,250,247,3,99.0,2021-07-04,14:15,19.017943358898698,72.84817787533568,30,Limited
Andheri Metro Parking,Andheri,200,19,181,9.7,2020-08-06,05:45,19.118959872150832,72.84769458206361,80,Available
R City Mall Parking,Ghatkopar,550,27,523,4.9,2020-02-26,00:30,19.085784851589686,72.90716457586944,40,Available
Andheri Metro Parking,Andheri,200,21,179,10.7,2022-08-12,02:30,19.11901246216129,72.84837747579307,30,Available
Seawoods Grand Central,Navi Mumbai,400,46,354,11.7,2020-02-18,00:00,19.019142201555105,73.01696464966881,30,Available
Phoenix Palladium Parking,Lower Parel,800,792,8,99.0,2020-07-19,12:00,18.992861683041355,72.8267434584241,50,Limited
Dadar Station Parking,Dadar,250,212,38,85.0,2022-05-30,11:45,19.016803247176483,72.84711185042138,60,Available
Seawoods Grand Central,Navi Mumbai,400,340,60,85.1,2020-12-08,20:30,19.019967365585682,73.01722728321512,50,Available
Seawoods Grand Central,Navi Mumbai,400,359,41,89.8,2021-07-26,15:00,19.020540845430187,73.01757504498507,50,Available
Seawoods Grand Central,Navi Mumbai,400,53,347,13.5,2020-01-26,01:30,19.02051563820537,73.01785955615358,40,Available
Dadar Station Parking,Dadar,250,198,52,79.4,2020-12-28,13:15,19.018221171358828,72.84795574471606,80,Available
Andheri Metro Parking,Andheri,200,174,26,87.4,2020-04-22,12:00,19.119169553900015,72.84793545513953,50,Available
Dadar Station Parking,Dadar,250,116,134,46.7,2021-05-15,09:15,19.01844034152,72.84869256528339,80,Available
Inorbit Mall Parking,Malad,700,608,92,86.9,2021-02-26,13:15,19.172798833556623,72.84860939737777,40,Available
BKC Parking Complex,BKC,500,456,44,91.4,2021-12-27,19:45,19.059858247405465,72.86556850422849,80,Available
Infiniti Mall Parking,Andheri,450,22,428,5.0,2020-11-15,04:00,19.13644018337423,72.82974530295667,20,Available
Thane Station Parking,Thane,300,227,73,76.0,2021-04-27,15:30,19.185448980413515,72.97082817146524,40,Available
Andheri Metro Parking,Andheri,200,198,2,99.0,2020-11-01,13:00,19.1189416625191,72.84694174403843,40,Limited
BKC Parking Complex,BKC,500,177,323,35.5,2020-10-17,16:30,19.060353745286196,72.86493699830405,40,Available
Andheri Metro Parking,Andheri,200,94,106,47.1,2020-07-22,23:00,19.119198753617646,72.84825901942274,20,Available
Infiniti Mall Parking,Andheri,450,422,28,93.9,2021-07-07,17:30,19.136358225966283,72.82925714989196,80,Available
Oberoi Mall Parking,Goregaon,600,480,120,80.0,2021-04-07,17:30,19.155114778911983,72.84969736755714,30,Available
BKC Parking Complex,BKC,500,454,46,91.0,2022-09-06,20:00,19.059428287932697,72.86527732846594,50,Available
Phoenix Palladium Parking,Lower Parel,800,136,664,17.1,2021-02-13,04:15,18.99420381503535,72.82564426550725,60,Available
Andheri Metro Parking,Andheri,200,183,17,91.9,2021-08-11,13:45,19.120218370638508,72.8481946247502,30,Available
R City Mall Parking,Ghatkopar,550,342,208,62.3,2022-04-19,21:15,19.084800336069048,72.90788365074137,80,Available
BKC Parking Complex,BKC,500,339,161,67.9,2022-09-12,11:00,19.060102332910553,72.86592676623492,30,Available
Inorbit Mall Parking,Malad,700,464,236,66.4,2021-03-03,11:30,19.17323472227791,72.84805140779278,40,Available
Infiniti Mall Parking,Andheri,450,390,60,86.8,2020-07-18,13:45,19.136730686309,72.83039961891782,40,Available
R City Mall Parking,Ghatkopar,550,528,22,96.2,2021-10-09,15:15,19.086099872310754,72.90791420263704,60,Available
Seawoods Grand Central,Navi Mumbai,400,215,185,53.8,2022-04-04,09:30,19.019010333930655,73.01700656634821,30,Available
Dadar Station Parking,Dadar,250,105,145,42.4,2022-02-07,06:30,19.01758253241807,72.84819418462529,40,Available
Phoenix Palladium Parking,Lower Parel,800,95,705,12.0,2021-09-21,00:45,18.99274039376233,72.82607858022908,50,Available
Infiniti Mall Parking,Andheri,450,49,401,11.0,2020-01-04,00:15,19.137398837356766,72.82894120577706,50,Available
Oberoi Mall Parking,Goregaon,600,472,128,78.8,2021-05-07,17:00,19.15434137740131,72.84890004464935,50,Available
Infiniti Mall Parking,Andheri,450,445,5,99.0,2022-01-09,15:15,19.13633072116429,72.82873311688292,30,Limited
BKC Parking Complex,BKC,500,186,314,37.3,2022-09-07,16:15,19.058620620689158,72.86582810145835,30,Available
Dadar Station Parking,Dadar,250,247,3,99.0,2022-07-09,20:00,19.01792916085589,72.84726078499239,60,Limited
R City Mall Parking,Ghatkopar,550,509,41,92.7,2020-09-15,15:30,19.085936226362264,72.90847733819231,50,Available
Inorbit Mall Parking,Malad,700,504,196,72.0,2021-04-14,10:15,19.171720864259218,72.84799644516252,20,Available
Andheri Metro Parking,Andheri,200,183,17,91.6,2022-08-27,11:00,19.120179794942665,72.84741464877642,30,Available
Thane Station Parking,Thane,300,132,168,44.1,2022-02-20,16:15,19.186621326693484,72.97047550945237,60,Available
Thane Station Parking,Thane,300,146,154,49.0,2021-12-15,09:00,19.185390077812603,72.96983570884757,30,Available
Oberoi Mall Parking,Goregaon,600,12,588,2.1,2021-05-07,00:15,19.154154807966652,72.84930734410209,20,Available
BKC Parking Complex,BKC,500,462,38,92.5,2020-03-27,15:00,19.05957816865242,72.86528835140854,60,Available
Oberoi Mall Parking,Goregaon,600,576,24,96.1,2020-08-19,19:30,19.15455305064737,72.84853446869485,50,Available
Andheri Metro Parking,Andheri,200,170,30,85.1,2020-03-13,17:45,19.120013996676267,72.84712520885753,80,Available
Andheri Metro Parking,Andheri,200,15,185,7.6,2022-06-07,03:45,19.11861558110621,72.84869674881551,20,Available
R City Mall Parking,Ghatkopar,550,17,533,3.2,2020-10-13,05:45,19.08565859471357,72.90840631017171,30,Available
Andheri Metro Parking,Andheri,200,30,170,15.4,2020-06-21,00:15,19.11864885882961,72.84735331804667,40,Available
Infiniti Mall Parking,Andheri,450,135,315,30.1,2021-04-29,21:15,19.136458335879656,72.8299953826077,20,Available
Seawoods Grand Central,Navi Mumbai,400,225,175,56.3,2022-05-24,08:45,19.020323725106294,73.01761660679242,80,Available
Infiniti Mall Parking,Andheri,450,445,5,99.0,2021-10-30,17:45,19.136236936511818,72.83002257912203,40,Limited
Phoenix Palladium Parking,Lower Parel,800,649,151,81.2,2022-02-05,15:30,18.994222234787305,72.8272195139609,50,Available
Oberoi Mall Parking,Goregaon,600,588,12,98.0,2020-06-14,11:30,19.155210583654387,72.8482979911162,50,Available
R City Mall Parking,Ghatkopar,550,47,503,8.6,2022-04-26,04:30,19.086005342563816,72.90748835700076,30,Available
Dadar Station Parking,Dadar,250,151,99,60.5,2021-09-23,23:15,19.018625224933448,72.84737987418279,80,Available
Andheri Metro Parking,Andheri,200,150,50,75.5,2022-04-28,18:15,19.120400804313313,72.84714114792816,20,Available
Phoenix Palladium Parking,Lower Parel,800,737,63,92.2,2020-05-14,10:30,18.99340539675572,72.82738572478765,40,Available
Phoenix Palladium Parking,Lower Parel,800,21,779,2.7,2021-04-27,00:45,18.994299341216564,72.82565006936666,20,Available
R City Mall Parking,Ghatkopar,550,198,352,36.2,2020-05-25,06:00,19.085808874470757,72.90885558064136,80,Available
Dadar Station Parking,Dadar,250,240,10,96.3,2020-10-04,18:30,19.0172718532303,72.84707524788092,40,Limited
Infiniti Mall Parking,Andheri,450,368,82,81.9,2021-01-20,18:45,19.13584124589273,72.83053071362757,40,Available
Phoenix Palladium Parking,Lower Parel,800,749,51,93.7,2022-07-22,19:45,18.992920055221035,72.8255990899526,80,Available
Phoenix Palladium Parking,Lower Parel,800,644,156,80.6,2020-12-17,20:00,18.99280656695227,72.82561663101042,80,Available
Dadar Station Parking,Dadar,250,124,126,49.9,2020-05-09,16:00,19.018132850008776,72.84731929775575,50,Available
Andheri Metro Parking,Andheri,200,198,2,99.0,2022-07-24,11:30,19.11909613999477,72.84848995725795,40,Limited
BKC Parking Complex,BKC,500,440,60,88.1,2021-06-05,17:00,19.059500391059576,72.86550206647114,80,Available
Dadar Station Parking,Dadar,250,244,6,98.0,2021-06-25,18:30,19.017061887824255,72.84715415276226,20,Limited
R City Mall Parking,Ghatkopar,550,544,6,99.0,2021-07-31,18:45,19.085139761369405,72.9079556484576,50,Limited
Dadar Station Parking,Dadar,250,212,38,84.8,2022-03-01,19:30,19.0186656188358,72.84701280425988,20,Available
Andheri Metro Parking,Andheri,200,174,26,87.0,2020-08-21,18:15,19.118657808024782,72.8486004474058,20,Available
BKC Parking Complex,BKC,500,279,221,55.9,2020-12-29,16:30,19.05908612297847,72.86448924463791,60,Available
Inorbit Mall Parking,Malad,700,41,659,5.9,2020-08-04,02:00,19.173348949485618,72.84883242874504,30,Available
Oberoi Mall Parking,Goregaon,600,447,153,74.5,2021-07-14,11:30,19.15505357490584,72.84913928572968,80,Available
Inorbit Mall Parking,Malad,700,81,619,11.6,2022-03-10,03:30,19.173138352482322,72.8473008474813,30,Available
Infiniti Mall Parking,Andheri,450,291,159,64.7,2022-07-25,23:45,19.13556423628617,72.83010239623475,20,Available
Dadar Station Parking,Dadar,250,134,116,53.9,2020-07-06,07:00,19.018667470355865,72.84809253697095,40,Available
Oberoi Mall Parking,Goregaon,600,574,26,95.8,2021-07-10,13:45,19.154333704670986,72.84850693544483,40,Available
Oberoi Mall Parking,Goregaon,600,296,304,49.4,2020-05-04,06:45,19.153931118526433,72.84947482463697,50,Available
Seawoods Grand Central,Navi Mumbai,400,42,358,10.6,2022-07-10,01:15,19.020244628906614,73.01694376638935,40,Available
Oberoi Mall Parking,Goregaon,600,88,512,14.7,2021-09-11,03:30,19.153801862594097,72.84948920386708,30,Available
Seawoods Grand Central,Navi Mumbai,400,354,46,88.7,2022-04-04,19:30,19.019888701489037,73.01677956828075,30,Available
Inorbit Mall Parking,Malad,700,584,116,83.5,2022-08-30,13:30,19.173163195125966,72.84833911509342,20,Available
R City Mall Parking,Ghatkopar,550,26,524,4.9,2020-08-03,03:30,19.08582699114351,72.9071878848054,60,Available
Phoenix Palladium Parking,Lower Parel,800,792,8,99.0,2021-09-19,20:45,18.99381863905611,72.82547522035618,30,Limited
Inorbit Mall Parking,Malad,700,86,614,12.3,2022-02-18,00:15,19.172115377196043,72.8478948345845,30,Available
Infiniti Mall Parking,Andheri,450,35,415,7.8,2020-05-08,01:45,19.137125424781512,72.82964854918457,30,Available
Oberoi Mall Parking,Goregaon,600,545,55,90.9,2022-01-08,18:15,19.15408237038611,72.84989464835357,80,Available
Thane Station Parking,Thane,300,20,280,6.7,2021-12-14,00:45,19.18552470039551,72.97012253449275,60,Available
Inorbit Mall Parking,Malad,700,41,659,6.0,2021-10-22,00:30,19.172137383563964,72.84841153768943,30,Available
Thane Station Parking,Thane,300,43,257,14.5,2020-10-11,00:30,19.18640832839633,72.97158193694291,80,Available
Seawoods Grand Central,Navi Mumbai,400,357,43,89.3,2021-10-08,14:00,19.018909569775143,73.01605417393337,50,Available
Infiniti Mall Parking,Andheri,450,315,135,70.1,2022-03-09,11:45,19.136288512074216,72.83040760086621,80,Available
Oberoi Mall Parking,Goregaon,600,413,187,69.0,2020-01-21,13:30,19.153733172759647,72.84990305442662,80,Available
Oberoi Mall Parking,Goregaon,600,361,239,60.3,2021-02-05,07:30,19.153638274842116,72.84984363475634,60,Available
Phoenix Palladium Parking,Lower Parel,800,692,108,86.6,2020-05-13,12:15,18.993790723116238,72.8255112735864,60,Available
Phoenix Palladium Parking,Lower Parel,800,320,480,40.1,2020-09-18,21:15,18.994389519173428,72.82733283096337,20,Available
Seawoods Grand Central,Navi Mumbai,400,36,364,9.0,2022-04-27,01:00,19.019331056917494,73.01748241755458,20,Available
Thane Station Parking,Thane,300,262,38,87.6,2022-03-25,12:15,19.18658283184399,72.97118350038308,80,Available
Infiniti Mall Parking,Andheri,450,367,83,81.7,2022-08-24,14:45,19.135580141625283,72.8303604918367,80,Available
Seawoods Grand Central,Navi Mumbai,400,174,226,43.7,2021-12-02,08:30,19.020025062173595,73.01626196350647,40,Available
Thane Station Parking,Thane,300,297,3,99.0,2022-07-09,10:00,19.185379776925778,72.9715696547127,50,Limited
Infiniti Mall Parking,Andheri,450,28,422,6.4,2021-09-24,04:15,19.13611305794232,72.83043863299737,20,Available
Dadar Station Parking,Dadar,250,138,112,55.3,2020-09-26,08:15,19.0178697949015,72.84831890022052,60,Available
Inorbit Mall Parking,Malad,700,430,270,61.5,2020-11-01,08:00,19.171560928624434,72.84731047684947,50,Available
Infiniti Mall Parking,Andheri,450,39,411,8.7,2020-01-08,04:30,19.13733055276293,72.83044993197558,60,Available
BKC Parking Complex,BKC,500,12,488,2.5,2021-07-03,05:00,19.059015789131436,72.86560387967741,60,Available
Dadar Station Parking,Dadar,250,239,11,95.9,2020-05-25,20:15,19.017478750366287,72.84810689649612,20,Available
Andheri Metro Parking,Andheri,200,171,29,85.7,2021-09-22,18:45,19.11904266297029,72.84714268620667,50,Available
Thane Station Parking,Thane,300,7,293,2.5,2021-03-24,02:00,19.18694167273655,72.96968343687098,30,Available
BKC Parking Complex,BKC,500,317,183,63.5,2020-07-27,22:00,19.059292762609225,72.86513304846677,20,Available
Inorbit Mall Parking,Malad,700,483,217,69.1,2021-10-24,22:45,19.172892377067996,72.84882917047362,20,Available
Oberoi Mall Parking,Goregaon,600,482,118,80.4,2021-07-28,13:15,19.153876309846414,72.84845281319862,40,Available
Oberoi Mall Parking,Goregaon,600,521,79,86.9,2021-06-21,19:00,19.15388378430567,72.85001091730021,80,Available
Infiniti Mall Parking,Andheri,450,311,139,69.1,2021-10-27,11:45,19.136688865374072,72.82932385182538,50,Available
Inorbit Mall Parking,Malad,700,681,19,97.3,2021-12-06,20:45,19.172325288993918,72.84830758474624,80,Available
Phoenix Palladium Parking,Lower Parel,800,684,116,85.5,2021-06-26,11:30,18.994007258612708,72.82593612195727,30,Available
Infiniti Mall Parking,Andheri,450,259,191,57.6,2020-01-27,07:15,19.13591739706895,72.82900452488522,20,Available
Phoenix Palladium Parking,Lower Parel,800,635,165,79.4,2022-08-16,13:15,18.99434141838329,72.82705458695324,80,Available
Infiniti Mall Parking,Andheri,450,246,204,54.8,2021-01-28,06:00,19.137359843888028,72.82909182003095,40,Available
Thane Station Parking,Thane,300,297,3,99.0,2022-02-27,18:30,19.18726539382415,72.97153126660574,20,Limited
Thane Station Parking,Thane,300,116,184,38.9,2020-02-20,21:00,19.185406546376107,72.97118961788168,20,Available
Thane Station Parking,Thane,300,42,258,14.1,2021-06-08,01:00,19.185915969140915,72.97077104210524,20,Available
R City Mall Parking,Ghatkopar,550,353,197,64.3,2021-03-24,07:15,19.084906840407612,72.90894794955985,60,Available
Infiniti Mall Parking,Andheri,450,156,294,34.8,2020-09-16,22:45,19.13634839424321,72.82974336196095,50,Available
Andheri Metro Parking,Andheri,200,65,135,32.9,2021-09-14,07:00,19.119426770061622,72.8469359835993,30,Available
Inorbit Mall Parking,Malad,700,460,240,65.8,2020-09-22,13:45,19.17156404346306,72.84696007615463,60,Available
Andheri Metro Parking,Andheri,200,74,126,37.3,2021-03-21,21:45,19.120059995628324,72.84819516871663,40,Available
Andheri Metro Parking,Andheri,200,74,126,37.1,2020-05-13,16:45,19.11917847935427,72.84874509970676,50,Available
Oberoi Mall Parking,Goregaon,600,345,255,57.6,2020-05-05,07:30,19.15472093815809,72.84874708069306,60,Available
Dadar Station Parking,Dadar,250,201,49,80.6,2021-08-03,12:30,19.017216758180588,72.8470895067988,40,Available
Inorbit Mall Parking,Malad,700,639,61,91.3,2020-08-13,10:30,19.172808013918896,72.84786567181287,50,Available
Thane Station Parking,Thane,300,104,196,34.8,2021-09-14,23:30,19.186444577476284,72.97021185050104,30,Available
Phoenix Palladium Parking,Lower Parel,800,428,372,53.5,2020-03-09,23:15,18.99390982375594,72.82603541241203,80,Available
Thane Station Parking,Thane,300,196,104,65.4,2021-11-07,23:00,19.186035877636357,72.97084951566292,60,Available
Thane Station Parking,Thane,300,205,95,68.4,2021-02-12,10:00,19.186364655356254,72.97013737744412,80,Available
BKC Parking Complex,BKC,500,495,5,99.0,2021-09-11,12:00,19.058877808772948,72.86576943812969,80,Limited
Andheri Metro Parking,Andheri,200,75,125,37.7,2021-12-10,08:30,19.120453086281486,72.84805983315198,40,Available
Andheri Metro Parking,Andheri,200,90,110,45.1,2022-07-21,23:15,19.12058738422186,72.8481246790506,40,Available
Oberoi Mall Parking,Goregaon,600,574,26,95.7,2022-05-18,17:00,19.155030845339724,72.84974878315056,80,Available
Andheri Metro Parking,Andheri,200,61,139,30.9,2020-09-03,09:00,19.11986386616935,72.84825842418378,40,Available
Phoenix Palladium Parking,Lower Parel,800,387,413,48.5,2022-03-16,06:30,18.99318471050041,72.82677277019789,30,Available
Seawoods Grand Central,Navi Mumbai,400,43,357,10.8,2022-08-09,04:45,19.020457904329575,73.01715630815887,80,Available
Seawoods Grand Central,Navi Mumbai,400,150,250,37.6,2022-02-25,21:30,19.019658872364037,73.01624178621924,50,Available
Infiniti Mall Parking,Andheri,450,56,394,12.5,2020-04-01,03:30,19.136200969624365,72.8292068283774,50,Available
Thane Station Parking,Thane,300,208,92,69.5,2021-02-23,15:15,19.18703118040809,72.97130903334258,40,Available
Andheri Metro Parking,Andheri,200,17,183,8.6,2021-08-10,05:30,19.119115920093268,72.84729495210159,80,Available
Infiniti Mall Parking,Andheri,450,399,51,88.8,2021-08-16,19:30,19.137005806652308,72.83000559514812,80,Available
Inorbit Mall Parking,Malad,700,53,647,7.6,2020-09-01,05:45,19.171838526215453,72.848108501874,30,Available
Oberoi Mall Parking,Goregaon,600,33,567,5.5,2022-06-27,05:00,19.153683771956683,72.84844167471769,30,Available
Dadar Station Parking,Dadar,250,15,235,6.3,2021-02-24,04:00,19.017733387621377,72.84797085678629,80,Available
R City Mall Parking,Ghatkopar,550,439,111,79.8,2022-07-05,17:45,19.08592425865755,72.90817322710913,80,Available
Andheri Metro Parking,Andheri,200,142,58,71.3,2020-11-09,13:00,19.1188789374867,72.84866685830484,80,Available
Dadar Station Parking,Dadar,250,109,141,44.0,2020-12-01,09:30,19.01720288297991,72.84879053159591,40,Available
Andheri Metro Parking,Andheri,200,102,98,51.2,2020-12-09,07:45,19.120479160406056,72.84754588074247,60,Available
BKC Parking Complex,BKC,500,399,101,79.9,2021-02-12,19:00,19.059116003451592,72.86483208332916,20,Available
Dadar Station Parking,Dadar,250,127,123,50.9,2022-09-27,09:15,19.01784682161772,72.84728648307015,40,Available
Thane Station Parking,Thane,300,96,204,32.3,2021-05-27,16:45,19.185962822585875,72.97110203417641,50,Available
Infiniti Mall Parking,Andheri,450,272,178,60.7,2022-06-29,08:30,19.13623655192798,72.83056391468514,60,Available
Oberoi Mall Parking,Goregaon,600,180,420,30.1,2020-04-01,09:45,19.15427952086096,72.84885955832468,20,Available
Phoenix Palladium Parking,Lower Parel,800,792,8,99.0,2020-03-15,15:15,18.994190048543828,72.82555117210205,30,Limited
BKC Parking Complex,BKC,500,495,5,99.0,2021-10-09,19:30,19.060556653778235,72.86603380434839,50,Limited
BKC Parking Complex,BKC,500,429,71,86.0,2020-05-29,17:15,19.05959529477569,72.8652915739171,20,Available
Thane Station Parking,Thane,300,214,86,71.5,2021-07-16,10:30,19.1860063465759,72.97038019944206,40,Available
Oberoi Mall Parking,Goregaon,600,346,254,57.8,2021-04-03,07:30,19.15509508992927,72.8481528414896,80,Available
R City Mall Parking,Ghatkopar,550,543,7,98.8,2020-06-14,18:30,19.086553924437478,72.9071836380231,60,Limited
Dadar Station Parking,Dadar,250,154,96,61.6,2020-12-07,07:45,19.018195046860384,72.84691303636251,80,Available
Inorbit Mall Parking,Malad,700,54,646,7.7,2021-02-15,04:00,19.172889834249993,72.8479551917666,50,Available
Infiniti Mall Parking,Andheri,450,369,81,82.2,2022-06-18,11:00,19.135594103885015,72.83054034506785,40,Available
R City Mall Parking,Ghatkopar,550,427,123,77.6,2022-07-19,20:15,19.086119532009683,72.90824961861169,50,Available
Dadar Station Parking,Dadar,250,128,122,51.3,2022-08-29,21:45,19.017485032013198,72.84863843561246,80,Available
Andheri Metro Parking,Andheri,200,81,119,40.6,2021-04-22,06:15,19.118941905316223,72.84760000350343,20,Available
Oberoi Mall Parking,Goregaon,600,586,14,97.7,2021-08-16,19:30,19.154056992989783,72.84841949628473,60,Available
Thane Station Parking,Thane,300,9,291,3.3,2020-11-10,05:45,19.187059527658672,72.97083272650154,40,Available
R City Mall Parking,Ghatkopar,550,72,478,13.1,2021-08-27,02:45,19.085032741838656,72.90877230306522,80,Available
Andheri Metro Parking,Andheri,200,96,104,48.2,2021-12-13,09:15,19.11931066815997,72.84808638036922,50,Available
BKC Parking Complex,BKC,500,26,474,5.3,2021-06-06,04:30,19.058723893094896,72.86589993471418,80,Available
Infiniti Mall Parking,Andheri,450,424,26,94.3,2021-02-04,18:45,19.135931998556448,72.82901563660863,20,Available
R City Mall Parking,Ghatkopar,550,11,539,2.1,2020-12-11,01:30,19.085279422000898,72.90806101868823,40,Available
Infiniti Mall Parking,Andheri,450,219,231,48.7,2022-02-27,23:00,19.13660135613988,72.8293847369403,50,Available
Oberoi Mall Parking,Goregaon,600,262,338,43.8,2021-05-03,23:00,19.154268502834224,72.84893417426515,20,Available
Seawoods Grand Central,Navi Mumbai,400,355,45,88.9,2020-07-28,15:00,19.01972204294597,73.01596039776493,80,Available
Oberoi Mall Parking,Goregaon,600,186,414,31.1,2020-09-30,23:45,19.155011955894093,72.84810199942729,60,Available
Andheri Metro Parking,Andheri,200,6,194,3.2,2022-04-16,05:00,19.1195681349549,72.8479174152484,50,Available
Dadar Station Parking,Dadar,250,179,71,71.8,2022-08-29,14:15,19.01870319419508,72.84820399737067,40,Available
Andheri Metro Parking,Andheri,200,60,140,30.2,2021-11-04,07:00,19.120475297689612,72.8480145035339,40,Available
Dadar Station Parking,Dadar,250,135,115,54.3,2021-05-02,16:00,19.01817849600503,72.84684424644674,60,Available
Phoenix Palladium Parking,Lower Parel,800,673,127,84.2,2022-02-28,17:15,18.99287896680519,72.82638771262167,30,Available
Infiniti Mall Parking,Andheri,450,136,314,30.4,2020-02-25,06:30,19.136074494707906,72.82889981624267,60,Available
Inorbit Mall Parking,Malad,700,660,40,94.4,2020-09-08,12:00,19.17297367075302,72.84865055969676,40,Available
Infiniti Mall Parking,Andheri,450,284,166,63.2,2021-08-01,09:45,19.13711636577152,72.82890592477084,40,Available
Inorbit Mall Parking,Malad,700,539,161,77.1,2020-12-05,13:30,19.173356351729403,72.84865152973153,20,Available
Thane Station Parking,Thane,300,163,137,54.5,2020-06-15,22:45,19.186311978510755,72.97042049384731,60,Available
R City Mall Parking,Ghatkopar,550,425,125,77.3,2022-04-21,13:15,19.085611084114387,72.90761835952756,30,Available
R City Mall Parking,Ghatkopar,550,479,71,87.2,2022-08-16,19:00,19.08649067031315,72.90829935048994,40,Available
Dadar Station Parking,Dadar,250,247,3,99.0,2020-11-08,20:45,19.017533144131953,72.84714923956982,60,Limited
Phoenix Palladium Parking,Lower Parel,800,792,8,99.0,2021-12-12,18:15,18.994329690347122,72.82710565373766,80,Limited
Oberoi Mall Parking,Goregaon,600,82,518,13.8,2021-10-02,04:30,19.15482380276022,72.84898663705519,80,Available
Seawoods Grand Central,Navi Mumbai,400,234,166,58.7,2021-04-27,06:45,19.020003401228827,73.01773339999744,80,Available
Inorbit Mall Parking,Malad,700,602,98,86.1,2020-07-07,15:15,19.17214347399828,72.84867316857381,60,Available
Seawoods Grand Central,Navi Mumbai,400,295,105,74.0,2021-07-23,10:15,19.02041003389076,73.01672981153743,80,Available
Dadar Station Parking,Dadar,250,104,146,41.8,2020-07-07,06:15,19.01688249635742,72.84781730478572,30,Available
Infiniti Mall Parking,Andheri,450,358,92,79.7,2021-09-15,11:45,19.135902189766412,72.82993392860263,60,Available
Thane Station Parking,Thane,300,280,20,93.4,2022-07-07,14:45,19.18717269421852,72.97032719363727,30,Available
Seawoods Grand Central,Navi Mumbai,400,360,40,90.2,2020-07-23,20:15,19.01961375225456,73.01753664260457,50,Available
Thane Station Parking,Thane,300,243,57,81.0,2020-04-29,17:45,19.185931616334383,72.9707954230148,20,Available
Andheri Metro Parking,Andheri,200,159,41,79.6,2020-09-02,15:30,19.120434963004794,72.84857921263048,60,Available
Inorbit Mall Parking,Malad,700,651,49,93.0,2020-03-09,11:00,19.172032472411576,72.84702097464842,40,Available
Inorbit Mall Parking,Malad,700,635,65,90.9,2021-01-28,15:30,19.1731817992764,72.84794293888532,30,Available
Thane Station Parking,Thane,300,238,62,79.4,2020-07-30,18:45,19.18682474521224,72.97122240205306,60,Available
Dadar Station Parking,Dadar,250,118,132,47.6,2021-04-12,23:15,19.017049489357667,72.84715247478682,20,Available
R City Mall Parking,Ghatkopar,550,455,95,82.8,2022-02-25,14:15,19.084632980676506,72.90868848546133,20,Available
Andheri Metro Parking,Andheri,200,77,123,38.8,2020-05-08,08:30,19.11966139390489,72.84867489848267,40,Available
Inorbit Mall Parking,Malad,700,670,30,95.8,2021-12-25,12:00,19.172469199185812,72.84772708140262,80,Available
R City Mall Parking,Ghatkopar,550,25,525,4.7,2022-01-14,02:30,19.0855436133877,72.90862333031627,80,Available
Seawoods Grand Central,Navi Mumbai,400,58,342,14.6,2020-10-08,01:15,19.019675900765126,73.01766836435273,30,Available
Andheri Metro Parking,Andheri,200,8,192,4.1,2022-08-01,03:30,19.119360622348886,72.84724924778632,20,Available
Oberoi Mall Parking,Goregaon,600,319,281,53.2,2021-04-19,16:00,19.153945405804702,72.848338470569,80,Available
Thane Station Parking,Thane,300,186,114,62.2,2020-01-13,23:30,19.186414902685705,72.97084476182862,60,Available
Phoenix Palladium Parking,Lower Parel,800,646,154,80.8,2020-01-31,13:45,18.992868309021336,72.82560489386357,40,Available
Thane Station Parking,Thane,300,226,74,75.6,2022-07-27,19:45,19.186206265208664,72.96978209956897,40,Available
Infiniti Mall Parking,Andheri,450,286,164,63.8,2021-02-08,07:30,19.13672689525596,72.82890408418109,80,Available
R City Mall Parking,Ghatkopar,550,496,54,90.4,2020-10-20,12:45,19.086444298705455,72.90880896380793,30,Available
Seawoods Grand Central,Navi Mumbai,400,376,24,94.1,2021-06-02,10:30,19.020333322455468,73.01644619275018,40,Available
Phoenix Palladium Parking,Lower Parel,800,463,337,58.0,2022-05-18,16:15,18.994062252743042,72.82620558953181,40,Available
Dadar Station Parking,Dadar,250,235,15,94.2,2022-06-15,18:30,19.018036172327697,72.8469052905123,60,Available
BKC Parking Complex,BKC,500,317,183,63.5,2020-10-07,16:30,19.0603671963841,72.8647875531017,80,Available
Oberoi Mall Parking,Goregaon,600,473,127,78.9,2021-07-06,17:00,19.154838625066446,72.84850942819759,30,Available
